tweets,author,date,likes,retweets,hashtags,linked_accounts,urls,id,tweet_type
@schiepell @macmoldis @anked @bodoramelow ☝️,DiePARTEI,2019-05-11 14:35:21,0,0,,"schiepell, macmoldis, anked, bodoramelow",,1127220654011506692,tweet
@kayser_kay @spdde Der ist jetzt zu einfach. Sorry,DiePARTEI,2019-05-11 14:29:01,6,0,,"kayser_kay, spdde",,1127219062155640832,tweet
Bestes Reisewetter. Guten Flug gewünscht 🛩️ https://t.co/pzv4CJMGF3,DiePARTEI,2019-05-11 12:48:01,190,19,,,https://t.co/pzv4CJMGF3,1127193642278498305,tweet
"@robinistda @Lefty_4tw @henhman Macht keinen Spaß, mit Argumenten gegen Sturheit vorzugehen. Daher einfach eine nette Pressemitteilung aus Niedersachsen: https://t.co/w9XY0QdjMP (55 % inkl. mittelbarer staatl. Finanzierung &lt; ""fast ausschließlich""...)",DiePARTEI,2019-05-11 12:06:47,0,0,,"robinistda, Lefty_4tw, henhman",https://t.co/w9XY0QdjMP,1127183266669367296,tweet
"@robinistda @Lefty_4tw @henhman Ist nicht böse gemeint, aber die Rechnung zu '14 geht nicht auf. Am Bsp. von '17 verdeutlicht, dass es ""nur"" 40 % freiwillige Leistungen von Personen sind. Die Aussage(mit der nicht wir eingestiegen sind), es sei fast ausschließlich durch Mitglieder gezahlter Wahlkampf, ist unfug https://t.co/FZyB6ZPcf3",DiePARTEI,2019-05-11 10:59:47,1,1,,"robinistda, Lefty_4tw, henhman",,1127166405294592002,tweet
@spdde Danske auch...,DiePARTEI,2019-05-11 10:34:22,284,6,,spdde,,1127160010776170496,tweet
@tom_jpeg @MartinSonneborn Mal schauen ob wir das lesen können. Ein schwarzer Balken auf dem Partei-Ausweis hat aber sicherlich seinen Charme.,DiePARTEI,2019-05-11 10:30:10,411,7,,"tom_jpeg, MartinSonneborn",,1127158951672524800,tweet
❤️ https://t.co/72wq4Fgdld,DiePARTEI,2019-05-11 10:16:52,809,58,,,,1127155606991798272,tweet
"Kaum mehr aufzuhalten!
Wenn man die 3 % aus Bayern mit den 3 % aus dem Saarland addiert, sind wir bei ungefähr 3 % aus Bayern! 💪 (Abweichungen denkbar) https://t.co/sJ4ZcHu4Sw",DiePARTEI,2019-05-11 02:09:45,1491,110,,,https://t.co/sJ4ZcHu4Sw,1127033019922042881,tweet
"@robinistda @Lefty_4tw @henhman ""Klar bekommen Parteien Geld vom Staat"" Jepp, teilweise unrechtmäßig (z. B. Fraktionsmittel), in eigener Sache festgesetzt und willkürlich erhöht sowie durch Konstrukte wie Sponsoring ergänzt, bleibt von der Aussage, es sei fast ausschließlich mitgliedergetragen, nicht viel übrig",DiePARTEI,2019-05-10 23:22:16,5,1,,"robinistda, Lefty_4tw, henhman",,1126990869268172800,tweet
@robinistda @Lefty_4tw @henhman Und die Fraktionsmittel nicht vergessen 😉 https://t.co/TxxkhK89gq,DiePARTEI,2019-05-10 22:51:23,4,0,,"robinistda, Lefty_4tw, henhman",https://t.co/TxxkhK89gq,1126983097533202433,tweet
"@robinistda @Lefty_4tw @henhman Dass das für die Bundeskampagne zur Europawahl gilt, ist zweifelhaft. Einbußen durch Stimmverluste wurden durch die klanglose Erhöhung der staatl. Teilfinanzierung dann auch noch nett kompensiert. Aber hey 😎 https://t.co/otdRq9Se2u",DiePARTEI,2019-05-10 22:47:08,4,1,,"robinistda, Lefty_4tw, henhman",,1126982029957050369,tweet
@robinistda @Lefty_4tw @henhman https://t.co/OAo4tIQQyQ 🤐,DiePARTEI,2019-05-10 22:29:26,2,0,,"robinistda, Lefty_4tw, henhman",https://t.co/OAo4tIQQyQ,1126977573588807682,tweet
"Hey, Aufkleberfreunde!
Verantwortungsvoller Umgang mit unseren Präsenten sieht anders aus. Ihr würdet ja auch nicht wollen, dass man euch aus Frechheit das Internet kaputt macht. https://t.co/qP0no6MVSs",DiePARTEI,2019-05-10 13:30:52,1849,201,,,https://t.co/qP0no6MVSs,1126842038253756418,tweet
Europa heißt auch immer rückständige Landschaften. Und Dorf. https://t.co/YdsFjNKvlN,DiePARTEI,2019-05-09 20:58:16,478,28,,,https://t.co/YdsFjNKvlN,1126592244167905280,tweet
#EtwasfürEuropaerreicht  https://t.co/ToAjtEMkaV,DiePARTEI,2019-05-09 19:27:11,207,37,EtwasfürEuropaerreicht,,https://t.co/ToAjtEMkaV,1126569321893957633,tweet
@spdde @Qwerteriaa @larsgolenia Kommt nicht mehr vor. Ehrenwort... https://t.co/w3sT3L4ZQZ,DiePARTEI,2019-05-09 18:41:48,306,13,,"spdde, Qwerteriaa, larsgolenia",,1126557899080257536,tweet
"https://t.co/aCXxvIvOTn
Für alle, die gern länger schlafen.
#Servicetweet #EP2019 #FürEuropaReichts https://t.co/Mz31Hn6xab",DiePARTEI,2019-05-09 10:46:13,585,91,"Servicetweet, EP2019, FürEuropaReichts",,https://t.co/aCXxvIvOTn,1126438216624693249,tweet
"Na, schon die Fernbedienung entstaubt?!*
In ungefähr fünf Minuten läuft im @ZDF Werbung, ""für die ausschließlich die Parteien verantwortlich sind"".
*Falls nicht, packen wir den Spot auch ins Internet. https://t.co/Url9ltzV5P",DiePARTEI,2019-05-08 20:06:48,579,50,,ZDF,,1126216901712064512,tweet
BayernSmiley 🤤https://t.co/4BDUGXkMne,DiePARTEI,2019-05-08 15:54:58,936,87,,,https://t.co/4BDUGXkMne,1126153528609792001,tweet
